2023-06-16 21:59:24.958 [gateway-service,,] [background-preinit] DEBUG org.jboss.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2023-06-16 22:16:21.487 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.springframework.web.client.RestTemplate - Accept=[application/json, application/*+json]
2023-06-16 22:16:21.488 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.client.protocol.RequestAddCookies - CookieSpec selected: default
2023-06-16 22:16:21.488 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.client.protocol.RequestAuthCache - Auth cache not set in the context
2023-06-16 22:16:21.488 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection request: [route: {}->http://localhost:8761][total available: 1; route allocated: 1 of 2; total allocated: 1 of 20]
2023-06-16 22:16:21.489 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "[read] I/O error: Read timed out"
2023-06-16 22:16:21.489 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection leased: [id: 1][route: {}->http://localhost:8761][total available: 0; route allocated: 1 of 2; total allocated: 1 of 20]
2023-06-16 22:16:21.489 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG o.a.h.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-1: set socket timeout to 0
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Executing request PUT /eureka/apps/GATEWAY-SERVICE/LAPTOP-H5J7FNPG.lan:gateway-service:8888?status=UP&lastDirtyTimestamp=1686924201079 HTTP/1.1
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Target auth state: UNCHALLENGED
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Proxy auth state: UNCHALLENGED
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 >> PUT /eureka/apps/GATEWAY-SERVICE/LAPTOP-H5J7FNPG.lan:gateway-service:8888?status=UP&lastDirtyTimestamp=1686924201079 HTTP/1.1
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 >> Accept: application/json, application/*+json
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 >> Content-Length: 0
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 >> Host: localhost:8761
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 >> Connection: Keep-Alive
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 >> User-Agent: Apache-HttpClient/4.5.14 (Java/16)
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 >> Accept-Encoding: gzip,deflate
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "PUT /eureka/apps/GATEWAY-SERVICE/LAPTOP-H5J7FNPG.lan:gateway-service:8888?status=UP&lastDirtyTimestamp=1686924201079 HTTP/1.1[\r][\n]"
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "Accept: application/json, application/*+json[\r][\n]"
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "Content-Length: 0[\r][\n]"
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "Host: localhost:8761[\r][\n]"
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "Connection: Keep-Alive[\r][\n]"
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "User-Agent: Apache-HttpClient/4.5.14 (Java/16)[\r][\n]"
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2023-06-16 22:16:21.490 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 >> "[\r][\n]"
2023-06-16 22:16:21.493 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "HTTP/1.1 200 [\r][\n]"
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "Content-Type: application/json[\r][\n]"
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "Content-Length: 0[\r][\n]"
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "Date: Fri, 16 Jun 2023 14:16:21 GMT[\r][\n]"
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "Keep-Alive: timeout=60[\r][\n]"
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "Connection: keep-alive[\r][\n]"
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.wire - http-outgoing-1 << "[\r][\n]"
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 << HTTP/1.1 200 
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 << Content-Type: application/json
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 << Content-Length: 0
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 << Date: Fri, 16 Jun 2023 14:16:21 GMT
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 << Keep-Alive: timeout=60
2023-06-16 22:16:21.494 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.headers - http-outgoing-1 << Connection: keep-alive
2023-06-16 22:16:21.495 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Connection can be kept alive for 60000 MILLISECONDS
2023-06-16 22:16:21.495 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection [id: 1][route: {}->http://localhost:8761] can be kept alive for 60.0 seconds
2023-06-16 22:16:21.495 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG o.a.h.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-1: set socket timeout to 0
2023-06-16 22:16:21.495 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection released: [id: 1][route: {}->http://localhost:8761][total available: 1; route allocated: 1 of 2; total allocated: 1 of 20]
2023-06-16 22:16:21.495 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG org.springframework.web.client.RestTemplate - Response 200 OK
2023-06-16 22:16:21.496 [gateway-service,,] [DiscoveryClient-HeartbeatExecutor-0] DEBUG com.netflix.discovery.DiscoveryClient - DiscoveryClient_GATEWAY-SERVICE/LAPTOP-H5J7FNPG.lan:gateway-service:8888 - Heartbeat status: 200
2023-06-16 22:16:21.549 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.springframework.web.client.RestTemplate - HTTP GET http://localhost:8761/eureka/apps/delta
2023-06-16 22:16:21.549 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.springframework.web.client.RestTemplate - Accept=[application/json, application/*+json]
2023-06-16 22:16:21.549 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.client.protocol.RequestAddCookies - CookieSpec selected: default
2023-06-16 22:16:21.549 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.client.protocol.RequestAuthCache - Auth cache not set in the context
2023-06-16 22:16:21.549 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection request: [route: {}->http://localhost:8761][total available: 1; route allocated: 1 of 2; total allocated: 1 of 20]
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "[read] I/O error: Read timed out"
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection leased: [id: 0][route: {}->http://localhost:8761][total available: 0; route allocated: 1 of 2; total allocated: 1 of 20]
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.a.h.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-0: set socket timeout to 0
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Executing request GET /eureka/apps/delta HTTP/1.1
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Target auth state: UNCHALLENGED
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Proxy auth state: UNCHALLENGED
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 >> GET /eureka/apps/delta HTTP/1.1
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 >> Accept: application/json, application/*+json
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 >> Host: localhost:8761
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 >> Connection: Keep-Alive
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.14 (Java/16)
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 >> Accept-Encoding: gzip,deflate
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 >> "GET /eureka/apps/delta HTTP/1.1[\r][\n]"
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 >> "Accept: application/json, application/*+json[\r][\n]"
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 >> "Host: localhost:8761[\r][\n]"
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.14 (Java/16)[\r][\n]"
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2023-06-16 22:16:21.550 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 >> "[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "HTTP/1.1 200 [\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "Content-Encoding: gzip[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "Content-Type: application/json[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "Content-Length: 535[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "Date: Fri, 16 Jun 2023 14:16:21 GMT[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "Keep-Alive: timeout=60[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "Connection: keep-alive[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "[\r][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "[0x1f][0x8b][0x8][0x0][0x0][0x0][0x0][0x0][0x0][0xff][0x95]S]o[0xda]0[0x14][0xfd]/V[0x1f]![0x10]H)[0xe4][0xa9][0x88][0xb0][0x8d]}@TJ[0xfb]0M[0xc8]s.[0xc4][0x9a]cG[0xb6]C[0x8b][0x10][0xff]}[0xd7][0xf1]BKU[0xa6]M[0x91][0x95][0xf8][0xde]s[0xbf][0xce][0xb9]9[0x10]Z[0x96][0x82]3j[0xb9][0x92][0x86][0xc4][0x7][0xb2][0x3]m[0xdc][0xf7]z[0x9d][0x81][0xb0][0x94][0xc4]$[0xec][0x93][0x96][0x83][0xa1])[0xa7]&g*[0x3][0xb4][0xae][0xd2]u[0xb4][0xf6][0x8e]&[0x9e][0xc4][0xdf][0xf]D[0xd2][0xa2]v/[0xa7]wm<[0xf][0xb3][0xc9][0x14]Q\[0x1a]K%[0x83][0x1a][0xd2]\f[0x19][0x2][0xbf][0x8e][0xd3][0xfb]E[0xda][0xfe]t[0xfd][0xf9][0xe6][0xc3]<[0xfd][0x18][0x8]*[0xe3][0xca][0x80]n[0xe3][0xd9]q[0x6][0xf1][0xb0];[0xc]1C[0xae][0x8c][0x9d][0xfb][0xdc][0xe1][0xa8][0x17][0x84][0x83]a[0x10][0x86][0xdd] [0x8c]"[0xdf][0xc4];5[0xcb]q[0x96][0xe9]w[0xf1]X[0xdf]V[0xa6][0x9e][0x2]o[\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "g[0xd6]<[0xcb]@.O[0xf6][0xf9][0x97][0xf9][0xe2]q[0x8e][0xce]Ri[0xeb]x[0xb9]"u'-r[0xb][0x92][0xfe][0x14][0xe0]z[0xb7][0xba][0x2]r[0xc4]t[0xc0]*[\r][0xe9][0xb]2[0x8a][0xfa]g[0xc0][\r][0x15][0xa6]F2UI[0xab][0xf7]nrL[0x95]QK' -[0xe8][0x99][0xdc]([0x17]{[0xcb][0x4]5[0xae][0x1][0xa6][0x8a]@[0x82][0xdd][0x8][0xfe][0x1c][0xe0]t[0x1c][0xfd][0xc1][0xac][0xe1][\r]/W[0x9]lh%lr[0x9e][0xa2][0xd5][0xf0][0xff]m[0xbf]x[0x92][0xae][0xa2][0x0]j[0xa0]I[0xaf]A[0xc2][0x13][0x15]3[0x87][0xdf][0xb9][0xf7][0x12][0x18]V[0xeb]w[0xb1][0x97]J[0xd7]"6[0xb6][0x11][0xda]4l[0xb9][0xb1][0xde]~[0xcf][0xb][0xc0][0xf2][0x5][0x12][0x8d]\[0xe]F[0xbd]h[0xd4][0xbb][0x19]^[0xe3][0x9c][0xd8][0xb1][0xbd][0xf3][0x89]/[0x83][0x0][0xb5]|[0x93][0xa6][0xeb][0x88][0xab]5^[0x95][0x97][0x2]q[0x80][0x2],uD[0xb9][0xfe][0xb]*[0xe9][0x16][\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "[0x9c]7[0xf0][0xba][0x90]z;[0x8e]n=[\n]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.wire - http-outgoing-0 << "H[0xd1][0xb7][0xd2][0x2][0xad][0xb9][0xb5]e[0xdc][0xe9][0xbc][0x11][0xbe][0x16][0xb0]s[0x92][0xff][0xdf][0xe0][0x94][0xd9][0x8a]Z[0xa5];[0xdc][0xf3][0x9b][0x3][0x15]6[0x9f][0xe4][0xc0]~[0xfd]G[0xb0][0x8f][0xc2][0xf0][0x9d][0xdf]J[0xa8]E~[0xbd][0xe7][0xa4]Y[0xa3][0x87][0xbf] [0xb8][0x99]([0xa5]3.Q[0x12][0xb9]M[0xb8]anw[0xf7]K[0x4][0x80]>[0xed][0x99][0x97]dU"k[0x90][0xbd]b[0x96][0x9c]Q[0xfb][0x7][0x96]pm[0xf7][0x17]@[0xe1][0xc0][0xfd][^[0xb7]}[0xe9][0xd6]j[0x9c]$[0xd3][0x84][0x1c][0xe0]s[0xfc][\r]j'[0xa3]T<[0x4][0x0][0x0]"
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 << HTTP/1.1 200 
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 << Content-Encoding: gzip
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 << Content-Type: application/json
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 << Content-Length: 535
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 << Date: Fri, 16 Jun 2023 14:16:21 GMT
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 << Keep-Alive: timeout=60
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.headers - http-outgoing-0 << Connection: keep-alive
2023-06-16 22:16:21.551 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.apache.http.impl.execchain.MainClientExec - Connection can be kept alive for 60000 MILLISECONDS
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.springframework.web.client.RestTemplate - Response 200 OK
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG org.springframework.web.client.RestTemplate - Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection [id: 0][route: {}->http://localhost:8761] can be kept alive for 60.0 seconds
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.a.h.impl.conn.DefaultManagedHttpClientConnection - http-outgoing-0: set socket timeout to 0
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.a.h.impl.conn.PoolingHttpClientConnectionManager - Connection released: [id: 0][route: {}->http://localhost:8761][total available: 1; route allocated: 1 of 2; total allocated: 1 of 20]
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG com.netflix.discovery.DiscoveryClient - Got delta update with apps hashcode UP_4_
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG com.netflix.discovery.DiscoveryClient - Added instance LAPTOP-H5J7FNPG.lan:user-service:8081 to the existing apps in region null
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG com.netflix.discovery.DiscoveryClient - The total number of instances fetched by the delta processor : 1
2023-06-16 22:16:21.552 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG com.netflix.discovery.DiscoveryClient - The total number of all instances in the client now is 4
2023-06-16 22:16:21.553 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_AUTH-SERVICE applying {pattern=/auth-service/**} to Path
2023-06-16 22:16:21.553 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_AUTH-SERVICE applying filter {regexp=/auth-service/?(?<remaining>.*), replacement=/${remaining}} to RewritePath
2023-06-16 22:16:21.554 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition matched: ReactiveCompositeDiscoveryClient_AUTH-SERVICE
2023-06-16 22:16:21.554 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_GATEWAY-SERVICE applying {pattern=/gateway-service/**} to Path
2023-06-16 22:16:21.554 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_GATEWAY-SERVICE applying filter {regexp=/gateway-service/?(?<remaining>.*), replacement=/${remaining}} to RewritePath
2023-06-16 22:16:21.554 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition matched: ReactiveCompositeDiscoveryClient_GATEWAY-SERVICE
2023-06-16 22:16:21.554 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_TRANSPORTER-SERVICE applying {pattern=/transporter-service/**} to Path
2023-06-16 22:16:21.555 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_TRANSPORTER-SERVICE applying filter {regexp=/transporter-service/?(?<remaining>.*), replacement=/${remaining}} to RewritePath
2023-06-16 22:16:21.555 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition matched: ReactiveCompositeDiscoveryClient_TRANSPORTER-SERVICE
2023-06-16 22:16:21.555 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_USER-SERVICE applying {pattern=/user-service/**} to Path
2023-06-16 22:16:21.555 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition ReactiveCompositeDiscoveryClient_USER-SERVICE applying filter {regexp=/user-service/?(?<remaining>.*), replacement=/${remaining}} to RewritePath
2023-06-16 22:16:21.555 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition matched: ReactiveCompositeDiscoveryClient_USER-SERVICE
2023-06-16 22:16:21.555 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition user_service applying {_genkey_0=/user-service/**} to Path
2023-06-16 22:16:21.556 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition user_service applying filter {_genkey_0=1} to StripPrefix
2023-06-16 22:16:21.556 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition matched: user_service
2023-06-16 22:16:21.556 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition auth_service applying {_genkey_0=/auth-service/**} to Path
2023-06-16 22:16:21.556 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition auth_service applying filter {_genkey_0=1} to StripPrefix
2023-06-16 22:16:21.556 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition matched: auth_service
2023-06-16 22:16:21.556 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition transporter_service applying {_genkey_0=/transporter-service/**} to Path
2023-06-16 22:16:21.557 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition transporter_service applying filter {_genkey_0=1} to StripPrefix
2023-06-16 22:16:21.557 [gateway-service,,] [DiscoveryClient-CacheRefreshExecutor-0] DEBUG o.s.c.gateway.route.RouteDefinitionRouteLocator - RouteDefinition matched: transporter_service
